EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,SOLVE STATUS,OBJECTIVE
EX11-2,2,4,2,3x3,1.0751194953918457,Optimal,13
EX21-2,3,4,2,3x3,0.19754457473754883,Optimal,15
EX31-3,4,5,3,4x4,3.663259744644165,Optimal,33
EX41-3,5,6,3,4x4,7.509207010269165,Optimal,31
EX51-4,6,5,4,4x4,16.903851747512817,Optimal,34
EX62-4,7,6,4,5x5,53.36924481391907,Feasible,70
EX71-3,8,4,3,3x3,33.000746726989746,Feasible,80
