EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX105-3,8,9,3,5x5,40.10408115386963,4,Optimal,64
EX105-4,8,9,4,5x5,722.224839925766,13,Optimal,64
EX105-5,8,9,5,5x5,47.13692378997803,2,Optimal,64
EX105-6,8,9,6,5x5,9.646490335464478,0,Optimal,64
EX11-1,3,5,1,3x3,0.12282276153564453,0,Optimal,42
EX11-2,3,5,2,3x3,0.23523950576782227,0,Optimal,40
EX11-3,3,5,3,3x3,0.5916662216186523,0,Optimal,40
EX115-3,9,9,3,5x5,1072.837434053421,25,Feasible,58
EX115-4,9,9,4,5x5,13214.607348918915,270,Feasible,99
EX115-5,9,9,5,5x5,2444.219108581543,24,Unknown,Null
EX115-6,9,9,6,5x5,2149.294271707535,32,Optimal,55
EX115-7,9,9,7,5x5,14.987235307693481,0,Optimal,55
EX126-2,8,10,2,5x5,5.136036157608032,0,Optimal,84
