EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,SOLVE STATUS,OBJECTIVE
EX11-2,2,4,2,3x3,1.4062259197235107,Optimal,13
EX21-2,3,4,2,3x3,0.23493051528930664,Optimal,15
EX31-3,4,5,3,4x4,3.0520334243774414,Optimal,33
EX41-3,5,6,3,4x4,7.173680305480957,Optimal,31
EX51-4,6,5,4,4x4,10.159557819366455,Optimal,34
EX62-4,7,6,4,5x5,834.931604385376,Optimal,45
EX71-3,8,4,3,3x3,582.9546847343445,Optimal,78
